,access,address.city,address.countryCode,address.countryName,address.county,address.district,address.houseNumber,address.label,address.postalCode,address.state,address.stateCode,address.street,address.subdistrict,categories,contacts,distance,foodTypes,id,ontologyId,openingHours,position.lat,position.lng,references,resultType,title
10,"[{'lat': 19.11162, 'lng': 72.87512}]",Mumbai,IND,India,Mumbai Suburban,Andheri East,,"vic mon b wing, Church Road, J B Nagar, Andheri East, Mumbai 400059, India",400059,Maharashtra,MH,Church Road,J B Nagar,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]",,4689,,here:pds:place:356te7ud-e1d26697d0d54f3eb62c7e6f73c431d1,here:cm:ontology:apartment_rental_flat_rental,"[{'text': ['Mon-Sun: 00:00 - 24:00'], 'isOpen': True, 'structured': [{'start': 'T000000', 'duration': 'PT24H00M', 'recurrence': 'FREQ:DAILY;BYDAY:MO,TU,WE,TH,FR,SA,SU'}]}]",19.11167,72.87505,,place,vic mon b wing
11,"[{'lat': 19.10037, 'lng': 72.88128}]",Mumbai,IND,India,Mumbai Suburban,Andheri East,,"Seven Hill, Airport Road, Sakinaka, Andheri East, Mumbai 400072, India",400072,Maharashtra,MH,Airport Road,Sakinaka,"[{'id': '500-5000-0053', 'name': 'Hotel', 'primary': True}, {'id': '500-5000-0000', 'name': 'Hotel/Motel'}, {'id': '500-5100-0059', 'name': 'Holiday Park'}, {'id': '700-7200-0324', 'name': 'Apartment/Flat Rental'}]","[{'phone': [{'value': '+912114270075'}, {'value': '+912228514343', 'categories': [{'id': '500-5000-0000'}, {'id': '500-5100-0059'}]}, {'value': '+918004916126', 'categories': [{'id': '500-5000-0000'}]}], 'fax': [{'value': '""""', 'categories': [{'id': '500-5000-0000'}]}], 'www': [{'value': 'http://www.hotelsevenhills.in', 'categories': [{'id': '500-5000-0000'}, {'id': '500-5100-0059'}]}, {'value': 'http://www.hotelsevenhillslonavala.com', 'categories': [{'id': '500-5000-0053'}, {'id': '700-7200-0324'}]}, {'value': 'http://www.oyorooms.com/81327?utm_source=tripadvisor&utm_medium=listing&utm_campaign=MUM1418', 'categories': [{'id': '500-5000-0000'}]}, {'value': 'https://www.treebo.com/hotels-in-mumbai/treebo-seven-hills-saki-naka-263', 'categories': [{'id': '500-5000-0000'}, {'id': '500-5000-0053'}, {'id': '700-7200-0324'}]}]}]",4999,,here:pds:place:356httek-7cd02e0812e205d9e29b884d603c7a7e,here:cm:ontology:apartment_rental_flat_rental,,19.10016,72.88126,"[{'supplier': {'id': 'core'}, 'id': '1201017702'}, {'supplier': {'id': 'tripadvisor'}, 'id': '9464133'}]",place,Seven Hill
12,"[{'lat': 19.08466, 'lng': 72.9073}]",Mumbai,IND,India,Mumbai Suburban,Ghatkopar East,11,"Hotel Samrat, 11 Jawahar Road, Ghatkopar East, Mumbai 400077, India",400077,Maharashtra,MH,Jawahar Road,,"[{'id': '100-1000-0000', 'name': 'Restaurant', 'primary': True}, {'id': '100-1000-0001', 'name': 'Casual Dining'}, {'id': '500-5000-0053', 'name': 'Hotel'}, {'id': '700-7200-0324', 'name': 'Apartment/Flat Rental'}]","[{'phone': [{'value': '+912225011270'}, {'value': '+912225012614'}, {'value': '+912225153270', 'categories': [{'id': '100-1000-0000'}]}], 'mobile': [{'value': '+919167117930'}], 'fax': [{'value': '""""', 'categories': [{'id': '100-1000-0000'}]}], 'www': [{'value': 'http://samrat.hotelsinghs.com'}]}]",5473,"[{'id': '800-077', 'name': 'Vegetarian', 'primary': True}, {'id': '202-000', 'name': 'Indian'}, {'id': '800-076', 'name': 'Vegan'}]",here:pds:place:356te7ue-1ba2d35858c54ffb9f2185704a550669,here:cm:ontology:apartment_rental_flat_rental,"[{'categories': [{'id': '100-1000-0000'}], 'text': ['Mon-Sun: 07:00 - 23:00'], 'isOpen': True, 'structured': [{'start': 'T070000', 'duration': 'PT16H00M', 'recurrence': 'FREQ:DAILY;BYDAY:MO,TU,WE,TH,FR,SA,SU'}]}]",19.0845,72.9074,"[{'supplier': {'id': 'core'}, 'id': '1201019075'}, {'supplier': {'id': 'core'}, 'id': '995231737'}, {'supplier': {'id': 'tripadvisor'}, 'id': '8014515'}]",place,Hotel Samrat
13,"[{'lat': 19.16653, 'lng': 72.95591}]",Mumbai,IND,India,Mumbai Suburban,Mulund East,401,"Ramkrishna Apartment, 401 Hutatma Chapekar Bhandu Marg, Salvi Wadi, Mulund East, Mumbai 400081, India",400081,Maharashtra,MH,Hutatma Chapekar Bhandu Marg,Salvi Wadi,"[{'id': '900-9300-0221', 'name': 'Residential Area/Building', 'primary': True}, {'id': '700-7200-0324', 'name': 'Apartment/Flat Rental'}]",,5797,,here:pds:place:356te7vh-7a6a646cb9f14688aae4bcdda4a6c560,here:cm:ontology:apartment_rental_flat_rental,,19.16654,72.9559,,place,Ramkrishna Apartment
14,"[{'lat': 19.07811, 'lng': 72.91174}]",Mumbai,IND,India,Mumbai Suburban,Ghatkopar East,,"Skiffle CHS, Vallabh Baug Lane, Ghatkopar East, Mumbai 400077, India",400077,Maharashtra,MH,Vallabh Baug Lane,,"[{'id': '900-9300-0221', 'name': 'Residential Area/Building', 'primary': True}, {'id': '700-7200-0324', 'name': 'Apartment/Flat Rental'}]",,6147,,here:pds:place:356te7ue-44bc5a50b70e4079ba6ba5ad714cfa2e,here:cm:ontology:apartment_rental_flat_rental,,19.07814,72.91175,"[{'supplier': {'id': 'core'}, 'id': '1208883104'}]",place,Skiffle CHS
15,"[{'lat': 19.17181, 'lng': 72.95569}]",Mumbai,IND,India,Mumbai Suburban,Mulund East,,"Ganash, Gopal Krishna Gokhale Road, Mulund East, Mumbai 400081, India",400081,Maharashtra,MH,Gopal Krishna Gokhale Road,,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]",,6168,,here:pds:place:356te7vh-c25b431bc219440580a988745647d8fe,here:cm:ontology:apartment_rental_flat_rental,,19.1718,72.95568,,place,Ganash
16,"[{'lat': 19.10562, 'lng': 72.86248}]",Mumbai,IND,India,Mumbai Suburban,Andheri East,,"Hotel le Grande, V M Shah Marg, Chakala, Andheri East, Mumbai 400099, India",400099,Maharashtra,MH,V M Shah Marg,Chakala,"[{'id': '500-5000-0053', 'name': 'Hotel', 'primary': True}, {'id': '100-1000-0000', 'name': 'Restaurant'}, {'id': '500-5000-0000', 'name': 'Hotel/Motel'}, {'id': '500-5100-0059', 'name': 'Holiday Park'}, {'id': '700-7200-0324', 'name': 'Apartment/Flat Rental'}]","[{'phone': [{'value': '+912238542518', 'categories': [{'id': '500-5000-0000'}]}, {'value': '+912242201400'}, {'value': '+912267251111', 'categories': [{'id': '500-5000-0000'}, {'id': '500-5000-0053'}, {'id': '500-5100-0059'}]}], 'www': [{'value': 'https://www.hotellegrande.com', 'categories': [{'id': '100-1000-0000'}, {'id': '500-5000-0000'}, {'id': '500-5000-0053'}]}], 'email': [{'value': 'info@hotellegrande.com', 'categories': [{'id': '100-1000-0000'}, {'id': '500-5000-0000'}]}]}]",6170,"[{'id': '202-000', 'name': 'Indian', 'primary': True}]",here:pds:place:356te7ud-4b68197586ee4eb0856230d901ad89a8,here:cm:ontology:apartment_rental_flat_rental,"[{'categories': [{'id': '500-5000-0000'}], 'text': ['Mon-Sun: 00:00 - 24:00'], 'isOpen': True, 'structured': [{'start': 'T000000', 'duration': 'PT24H00M', 'recurrence': 'FREQ:DAILY;BYDAY:MO,TU,WE,TH,FR,SA,SU'}]}]",19.10556,72.8625,"[{'supplier': {'id': 'core'}, 'id': '1059542894'}, {'supplier': {'id': 'core'}, 'id': '1130307506'}, {'supplier': {'id': 'tripadvisor'}, 'id': '1135593'}]",place,Hotel le Grande
17,"[{'lat': 19.16285, 'lng': 72.85787}]",Mumbai,IND,India,Mumbai Suburban,Goregaon East,,"Royal Palms Estate & Properties, Goregaon East, Mumbai 400063, India",400063,Maharashtra,MH,,,"[{'id': '700-7400-0145', 'name': 'Real Estate Services', 'primary': True}, {'id': '700-7200-0324', 'name': 'Apartment/Flat Rental'}]","[{'phone': [{'value': '+912261462000'}], 'www': [{'value': 'http://www.royalpalmsindia.com'}]}]",6680,,here:pds:place:356te7v6-7424bd059ac945ec9d562343a4355614,here:cm:ontology:apartment_rental_flat_rental,,19.16285,72.85787,,place,Royal Palms Estate & Properties
18,"[{'lat': 19.12397, 'lng': 72.84666}]",Mumbai,IND,India,Mumbai Suburban,Andheri West,68,"Sana Guest House, 68 S V Road, Andheri West, Mumbai 400058, India",400058,Maharashtra,MH,S V Road,,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]",[{'phone': [{'value': '+912232156639'}]}],7069,,here:pds:place:356te7uc-643359fa033fcf8daed1ed542792b39c,here:cm:ontology:apartment_rental_flat_rental,,19.12396,72.84676,,place,Sana Guest House
19,"[{'lat': 19.14635, 'lng': 72.84589}]",Mumbai,IND,India,Mumbai Suburban,Jogeshwari West,101,"Twinkle service apartment, 101 Oshiwara Garden Road, Oshiwara Garden, Jogeshwari West, Mumbai 400102, India",400102,Maharashtra,MH,Oshiwara Garden Road,Oshiwara Garden,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","[{'phone': [{'value': '+919819099019'}], 'www': [{'value': 'http://Www.twinkleapartments.com'}]}]",7222,,here:pds:place:356te7uc-7c88537101df4ea6a68850a645d36a34,here:cm:ontology:apartment_rental_flat_rental,,19.1462,72.8459,,place,Twinkle service apartment
